transaction_id,account_id,customer_name,amount,balance_after,transaction_type,category,transaction_date,description,merchant,location
TXN023,ACC1004,Emily Davis,-95.00,18600.30,debit,groceries,2023-01-07 16:15:00,Weekly Groceries,Stop & Shop,Boston
TXN024,ACC1003,Michael Chen,-15.99,10163.76,debit,subscription,2023-01-07 00:00:00,Cloud Storage,Google One,Online
TXN025,ACC1005,Robert Wilson,-25.00,6645.00,debit,entertainment,2023-01-07 21:00:00,Movie Night,AMC Theatres,Austin
TXN026,ACC1006,Lisa Wang,4500.00,32100.50,credit,salary,2023-01-01 09:00:00,Monthly Salary,BigTech Corp,Seattle
TXN027,ACC1006,Lisa Wang,-1200.00,30900.50,debit,rent,2023-01-01 00:00:00,Rent Payment,Apartment Living,Seattle
TXN028,ACC1006,Lisa Wang,-89.00,30811.50,debit,groceries,2023-01-03 15:30:00,Grocery Shopping,QFC,Seattle
TXN029,ACC1007,James Brown,2100.00,11250.00,credit,salary,2023-01-01 09:00:00,Bi-weekly Pay,RetailMart,Denver
TXN030,ACC1007,James Brown,-450.00,10800.00,debit,insurance,2023-01-02 00:00:00,Car Insurance Premium,State Farm,Denver
TXN031,ACC1006,Lisa Wang,-55.00,30756.50,debit,dining,2023-01-04 19:00:00,Dinner Out,PF Changs,Seattle
TXN032,ACC1007,James Brown,-32.00,10768.00,debit,transportation,2023-01-04 07:30:00,Gas Station,Shell,Denver
TXN033,ACC1001,John Smith,-110.00,15082.01,debit,healthcare,2023-01-08 09:00:00,Pharmacy Purchase,CVS,New York
TXN034,ACC1002,Sarah Johnson,500.00,22275.76,credit,bonus,2023-01-08 12:00:00,Performance Bonus,FinanceHub LLC,Chicago
TXN035,ACC1003,Michael Chen,-350.00,9813.76,debit,shopping,2023-01-08 14:00:00,New Laptop Accessories,Apple Store,San Francisco
TXN036,ACC1004,Emily Davis,-40.00,18560.30,debit,transportation,2023-01-08 17:30:00,Monthly Transit Pass,MBTA,Boston
TXN037,ACC1005,Robert Wilson,800.00,7445.00,credit,freelance,2023-01-09 10:00:00,Side Project Payment,Client XYZ,Austin
TXN038,ACC1006,Lisa Wang,-200.00,30556.50,debit,shopping,2023-01-08 13:00:00,Home Decor,IKEA,Seattle
TXN039,ACC1007,James Brown,-28.50,10739.50,debit,dining,2023-01-08 12:00:00,Lunch,Panera Bread,Denver
TXN040,ACC1001,John Smith,-75.00,15007.01,debit,entertainment,2023-01-09 20:30:00,Streaming Services Bundle,Disney+,Online
TXN041,ACC1002,Sarah Johnson,-42.00,22233.76,debit,groceries,2023-01-09 18:00:00,Quick Grocery Run,Target,Chicago
TXN042,ACC1003,Michael Chen,1800.00,11613.76,credit,salary,2023-01-15 09:00:00,Bi-weekly Pay,StartupXYZ,San Francisco
TXN043,ACC1004,Emily Davis,-125.00,18435.30,debit,utilities,2023-01-10 10:00:00,Heating Bill,National Grid,Boston
TXN044,ACC1005,Robert Wilson,-18.99,7426.01,debit,subscription,2023-01-10 00:00:00,Gaming Subscription,Xbox Game Pass,Online
TXN045,ACC1006,Lisa Wang,-65.00,30491.50,debit,healthcare,2023-01-10 11:30:00,Prescription Medication,Walgreens,Seattle
TXN046,ACC1007,James Brown,-85.00,10654.50,debit,groceries,2023-01-10 17:00:00,Weekly Groceries,King Soopers,Denver
TXN047,ACC1001,John Smith,2500.00,17507.01,credit,salary,2023-01-15 09:00:00,Monthly Salary,TechCorp Inc,New York
TXN048,ACC1002,Sarah Johnson,3200.00,25433.76,credit,salary,2023-01-15 09:00:00,Monthly Salary,FinanceHub LLC,Chicago
TXN049,ACC1004,Emily Davis,2800.00,21235.30,credit,salary,2023-01-15 09:00:00,Monthly Salary,HealthCare Plus,Boston
TXN050,ACC1006,Lisa Wang,4500.00,34991.50,credit,salary,2023-01-15 09:00:00,Monthly Salary,BigTech Corp,Seattle
